[info] engine.cpp:110 | initialize() | Engine::initialize() started
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Found manifest file C:\Program Files\NVIDIA Corporation\Nsight Systems 2024.7.1\target-windows-x64\vulkan-layers\VkLayer_nsight-sys_windows.json(file version 1.1.0)
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Found manifest file C:\ProgramData\obs-studio-hook\obs-vulkan64.json (file version 1.1.2)
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Found manifest file C:\Program Files (x86)\Steam\SteamOverlayVulkanLayer64.json (file version 1.0.0)
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Found manifest file C:\Program Files (x86)\Steam\SteamFossilizeVulkanLayer64.json (file version 1.0.0)
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Checking for Layer Manifest files in Registry at HKEY_LOCAL_MACHINE\SOFTWARE\Khronos\Vulkan\ExplicitLayers
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] windows_get_device_registry_files: opening device PCI\VEN_10DE&DEV_2414&SUBSYS_663019DA&REV_A1\4&2283f625&0&0019
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] windows_get_device_registry_entry: Device ID(6) Does not contain a value for "VulkanExplicitLayers"
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] windows_get_device_registry_files: Opening child device 8 - DISPLAY\DELA0D9\5&274F4C17&0&UID20736
[trace] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] windows_get_device_registry_files: GUID for 8 is not SoftwareComponent skipping
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] windows_get_device_registry_files: Opening child device 9 - DISPLAY\SAM7181\5&274F4C17&0&UID20737
[trace] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] windows_get_device_registry_files: GUID for 9 is not SoftwareComponent skipping
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] windows_get_device_registry_files: found no registry files
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Located json file "C:\VulkanSDK\1.4.321.1\Bin\VkLayer_api_dump.json" from registry "HKEY_LOCAL_MACHINE\SOFTWARE\Khronos\Vulkan\ExplicitLayers"
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Located json file "C:\VulkanSDK\1.4.321.1\Bin\VkLayer_gfxreconstruct.json" from registry "HKEY_LOCAL_MACHINE\SOFTWARE\Khronos\Vulkan\ExplicitLayers"
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Located json file "C:\VulkanSDK\1.4.321.1\Bin\VkLayer_khronos_synchronization2.json" from registry "HKEY_LOCAL_MACHINE\SOFTWARE\Khronos\Vulkan\ExplicitLayers"
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Located json file "C:\VulkanSDK\1.4.321.1\Bin\VkLayer_khronos_validation.json" from registry "HKEY_LOCAL_MACHINE\SOFTWARE\Khronos\Vulkan\ExplicitLayers"
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Located json file "C:\VulkanSDK\1.4.321.1\Bin\VkLayer_monitor.json" from registry "HKEY_LOCAL_MACHINE\SOFTWARE\Khronos\Vulkan\ExplicitLayers"
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Located json file "C:\VulkanSDK\1.4.321.1\Bin\VkLayer_screenshot.json" from registry "HKEY_LOCAL_MACHINE\SOFTWARE\Khronos\Vulkan\ExplicitLayers"
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Located json file "C:\VulkanSDK\1.4.321.1\Bin\VkLayer_khronos_profiles.json" from registry "HKEY_LOCAL_MACHINE\SOFTWARE\Khronos\Vulkan\ExplicitLayers"
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Located json file "C:\VulkanSDK\1.4.321.1\Bin\VkLayer_khronos_shader_object.json" from registry "HKEY_LOCAL_MACHINE\SOFTWARE\Khronos\Vulkan\ExplicitLayers"
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Located json file "C:\VulkanSDK\1.4.321.1\Bin\VkLayer_crash_diagnostic.json" from registry "HKEY_LOCAL_MACHINE\SOFTWARE\Khronos\Vulkan\ExplicitLayers"
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Found manifest file C:\VulkanSDK\1.4.321.1\Bin\VkLayer_api_dump.json (file version 1.2.0)
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Found manifest file C:\VulkanSDK\1.4.321.1\Bin\VkLayer_gfxreconstruct.json (file version 1.2.0)
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Found manifest file C:\VulkanSDK\1.4.321.1\Bin\VkLayer_khronos_synchronization2.json (file version 1.2.0)
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Found manifest file C:\VulkanSDK\1.4.321.1\Bin\VkLayer_khronos_validation.json (file version 1.2.0)
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Found manifest file C:\VulkanSDK\1.4.321.1\Bin\VkLayer_monitor.json (file version 1.0.0)
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Found manifest file C:\VulkanSDK\1.4.321.1\Bin\VkLayer_screenshot.json (file version 1.2.0)
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Found manifest file C:\VulkanSDK\1.4.321.1\Bin\VkLayer_khronos_profiles.json (file version 1.2.1)
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Found manifest file C:\VulkanSDK\1.4.321.1\Bin\VkLayer_khronos_shader_object.json (file version 1.2.0)
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Found manifest file C:\VulkanSDK\1.4.321.1\Bin\VkLayer_crash_diagnostic.json (file version 1.2.0)
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] windows_get_app_package_manifest_path: Failed to find mapping layers packages by family name
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Checking for Driver Manifestfiles in Registry at HKEY_LOCAL_MACHINE\SOFTWARE\Khronos\Vulkan\Drivers
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] windows_add_json_entry: Located json file "C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_0fb2df354c49e826\nv-vk64.json" fromPnP registry: E
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Found no registry files in HKEY_LOCAL_MACHINE\SOFTWARE\Khronos\Vulkan\Drivers
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Found ICD manifest file C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_0fb2df354c49e826\nv-vk64.json, version 1.0.1
[trace] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Searching for ICD drivers named .\nvoglv64.dll
[trace] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Loading layer library C:\VulkanSDK\1.4.321.1\Bin\.\VkLayer_khronos_validation.dll
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Insert instance layer "VK_LAYER_KHRONOS_validation" (C:\VulkanSDK\1.4.321.1\Bin\.\VkLayer_khronos_validation.dll)
[trace] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Loading layer library C:\ProgramData\obs-studio-hook\.\graphics-hook64.dll
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Insert instance layer "VK_LAYER_OBS_HOOK" (C:\ProgramData\obs-studio-hook\.\graphics-hook64.dll)
[trace] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Loading layer library C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_0fb2df354c49e826\.\nvoglv64.dll
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Insert instance layer "VK_LAYER_NV_gr2608" (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_0fb2df354c49e826\.\nvoglv64.dll)
[trace] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Loading layer library C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_0fb2df354c49e826\.\nvoglv64.dll
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Insert instance layer "VK_LAYER_NV_optimus" (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_0fb2df354c49e826\.\nvoglv64.dll)
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] vkCreateInstance layer callstack setup to:
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]    <Application>
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]      ||
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]    <Loader>
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]      ||
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]    VK_LAYER_NV_optimus
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]            Type: Implicit
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]            Enabled By: Implicit Layer
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]                Disable Env Var:  DISABLE_LAYER_NV_OPTIMUS_1
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]            Manifest: C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_0fb2df354c49e826\nv-vk64.json
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]            Library:  C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_0fb2df354c49e826\.\nvoglv64.dll
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]      ||
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]    VK_LAYER_NV_gr2608
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]            Type: Implicit
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]            Enabled By: Implicit Layer
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]                Disable Env Var:  DISABLE_LAYER_NV_GR2608_1
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]            Manifest: C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_0fb2df354c49e826\nv-vk64.json
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]            Library:  C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_0fb2df354c49e826\.\nvoglv64.dll
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]      ||
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]    VK_LAYER_OBS_HOOK
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]            Type: Implicit
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]            Enabled By: Implicit Layer
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]                Disable Env Var:  DISABLE_VULKAN_OBS_CAPTURE
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]            Manifest: C:\ProgramData\obs-studio-hook\obs-vulkan64.json
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]            Library:  C:\ProgramData\obs-studio-hook\.\graphics-hook64.dll
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]      ||
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]    VK_LAYER_KHRONOS_validation
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]            Type: Explicit
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]            Enabled By: By the Application
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]            Manifest: C:\VulkanSDK\1.4.321.1\Bin\VkLayer_khronos_validation.json
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]            Library:  C:\VulkanSDK\1.4.321.1\Bin\.\VkLayer_khronos_validation.dll
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]      ||
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]    <Drivers>
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [VALIDATION ] [WARNING-CreateInstance-status-message] vkCreateInstance(): Khronos Validation Layer Active:
    Current Enables: None.
    Current Disables: None.

[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Inserted device layer "VK_LAYER_KHRONOS_validation" (C:\VulkanSDK\1.4.321.1\Bin\.\VkLayer_khronos_validation.dll)
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Inserted device layer "VK_LAYER_OBS_HOOK" (C:\ProgramData\obs-studio-hook\.\graphics-hook64.dll)
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Inserted device layer "VK_LAYER_NV_gr2608" (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_0fb2df354c49e826\.\nvoglv64.dll)
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Inserted device layer "VK_LAYER_NV_optimus" (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_0fb2df354c49e826\.\nvoglv64.dll)
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] vkCreateDevice layer callstack setup to:
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]    <Application>
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]      ||
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]    <Loader>
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]      ||
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]    VK_LAYER_NV_optimus
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]            Type: Implicit
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]            Enabled By: Implicit Layer
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]                Disable Env Var:  DISABLE_LAYER_NV_OPTIMUS_1
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]            Manifest: C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_0fb2df354c49e826\nv-vk64.json
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]            Library:  C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_0fb2df354c49e826\.\nvoglv64.dll
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]      ||
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]    VK_LAYER_NV_gr2608
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]            Type: Implicit
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]            Enabled By: Implicit Layer
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]                Disable Env Var:  DISABLE_LAYER_NV_GR2608_1
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]            Manifest: C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_0fb2df354c49e826\nv-vk64.json
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]            Library:  C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_0fb2df354c49e826\.\nvoglv64.dll
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]      ||
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]    VK_LAYER_OBS_HOOK
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]            Type: Implicit
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]            Enabled By: Implicit Layer
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]                Disable Env Var:  DISABLE_VULKAN_OBS_CAPTURE
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]            Manifest: C:\ProgramData\obs-studio-hook\obs-vulkan64.json
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]            Library:  C:\ProgramData\obs-studio-hook\.\graphics-hook64.dll
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]      ||
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]    VK_LAYER_KHRONOS_validation
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]            Type: Explicit
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]            Enabled By: By the Application
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]            Manifest: C:\VulkanSDK\1.4.321.1\Bin\VkLayer_khronos_validation.json
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]            Library:  C:\VulkanSDK\1.4.321.1\Bin\.\VkLayer_khronos_validation.dll
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]      ||
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]    <Device>
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message]        Using "NVIDIA GeForceRTX 3060 Ti" with driver: "C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_0fb2df354c49e826\.\nvoglv64.dll"
[info] dxc_util.cpp:31 | compileHlslCode() | Compiling shader for target: vs_6_7
[info] dxc_util.cpp:138 | reflectShader() | Shader Reflection: Using SPIR-V backend for stage 1
[debug] dxc_util.cpp:445 | reflectSpirv_() | SPIR-V Reflection: Processing 7 vertex input variables
[debug] dxc_util.cpp:458 | reflectSpirv_() | SPIR-V Reflection: Input variable - location: 0, name: 'in.var.POSITION0'
[debug] dxc_util.cpp:480 | reflectSpirv_() | SPIR-V Reflection: Mapped location 0 to semantic 'POSITION'
[debug] dxc_util.cpp:526 | reflectSpirv_() | SPIR-V Reflection: Added vertex input - semantic: 'POSITION', location: 0, format: 11
[debug] dxc_util.cpp:458 | reflectSpirv_() | SPIR-V Reflection: Input variable - location: 1, name: 'in.var.TEXCOORD1'
[debug] dxc_util.cpp:480 | reflectSpirv_() | SPIR-V Reflection: Mapped location 1 to semantic 'TEXCOORD'
[debug] dxc_util.cpp:526 | reflectSpirv_() | SPIR-V Reflection: Added vertex input - semantic: 'TEXCOORD', location: 1, format: 8
[debug] dxc_util.cpp:458 | reflectSpirv_() | SPIR-V Reflection: Input variable - location: 2, name: 'in.var.NORMAL2'
[debug] dxc_util.cpp:480 | reflectSpirv_() | SPIR-V Reflection: Mapped location 2 to semantic 'NORMAL'
[debug] dxc_util.cpp:526 | reflectSpirv_() | SPIR-V Reflection: Added vertex input - semantic: 'NORMAL', location: 2, format: 11
